Passer,Receiver,Passes
Rainer,Connor,0.0
Rainer,Dave,0.0
Rainer,Davide,0.0
Rainer,Flex,0.0
Rainer,Flo,4.0
Rainer,Franz,0.0
Rainer,Hans,1.0
Rainer,Kitchen,1.0
Rainer,Matze,0.0
Rainer,Mike,2.0
Rainer,Misch,0.0
Rainer,Moritz,0.0
Rainer,Mou K.,0.0
Rainer,Rene,0.0
Rainer,Walder,1.0
Rene,Alan,0.0
Rene,Throwaway,0.0
Rene,Aze,0.0
Rene,Brandon,0.0
Rene,Cafi,0.0
Rene,Chris,0.0
Rene,Connor,1.0
Rene,Dave,0.0
Rene,Davide,0.0
Rene,Flex,0.0
Rene,Flo,0.0
Rene,Franz,1.0
Rene,Hans,0.0
Rene,Kitchen,0.0
Rene,Matze,0.0
Rene,Mike,0.0
Rene,Misch,0.0
Rene,Moritz,0.0
Rene,Mou K.,0.0
Rene,Rainer,0.0
Rene,Walder,1.0
Walder,Alan,0.0
Walder,Throwaway,1.0
Walder,Aze,0.0
Walder,Brandon,2.0
Walder,Cafi,1.0
Walder,Chris,0.0
Walder,Connor,0.0
Walder,Dave,2.0
Walder,Davide,0.0
Walder,Flex,0.0
Walder,Flo,0.0
Walder,Franz,1.0
Walder,Hans,0.0
Walder,Kitchen,3.0
Walder,Matze,0.0
Walder,Mike,0.0
Walder,Misch,2.0
Walder,Moritz,0.0
Walder,Mou K.,2.0
Walder,Rainer,0.0
Walder,Rene,2.0
